Model,Latency (ms),Throughput (tokens/sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU Score,CHRF Score,Unique n-grams,Entropy,Repeated n-grams (%),Coherence (Cosine Similarity)
FP16DeepSeek-R1-Distill-Qwen-1.5B,24860.83674430847,5.3900036180671735,0.0594059405940594,0.0404040404040404,0.0594059405940594,0.0222462672092259,0.0589214609964761,0.7227722772277227,5.492383700951256,0.0,0
FP16DeepSeek-R1-Distill-Qwen-7B,216863.5873794556,0.6178999509287579,0.0638297872340425,0.0217391304347826,0.0638297872340425,0.0255901590405087,0.0493313033388562,0.875,5.570060453790816,0.0,0
FP16DeepSeek-R1-Distill-Llama-8B,67071.09904289246,1.9978798903281128,0.0545454545454545,0.037037037037037,0.0545454545454545,0.0316740705285098,0.0543096572454737,0.9339622641509434,6.005003563213287,0.0,0
FP16qwen2.5-0.5b-instruct,9054.84390258789,14.688270878086408,0.081081081081081,0.0555555555555555,0.081081081081081,0.0411188844813976,0.0852885917503092,0.9390243902439024,5.679385657368855,0.0,0
FP16qwen2.5-1.5b-instruct,21806.80799484253,4.264723201212905,0.1578947368421052,0.1111111111111111,0.1578947368421052,0.0642821602452021,0.1518109797861232,0.8679245283018868,4.697181011486017,0.0,0
FP16qwen2.5-3b-instruct,6514.874696731567,4.911836603097525,0.2666666666666666,0.1538461538461538,0.2666666666666666,0.164519293999331,0.2090970420802353,0.9333333333333332,3.773557262275185,0.0,0
FP16qwen2.5-7b-instruct,60172.13034629822,2.21032559815596,0.072289156626506,0.0493827160493827,0.072289156626506,0.0401218776374591,0.0732706385830843,0.8928571428571429,5.383638185240658,0.0,0
FP16tiny-llama-1b-chat,16058.432340621948,8.095435297949205,0.1224489795918367,0.0851063829787234,0.1224489795918367,0.0469527266228307,0.1499781572076269,0.9444444444444444,4.41883888985043,0.0,0
FP16llama-3.2-1b-instruct,7877.084732055664,13.329804562429583,0.074074074074074,0.0253164556962025,0.074074074074074,0.027160394441483,0.047787159523836,0.8795180722891566,5.131435625687889,0.0,0
FP16llama-3.2-3b-instruct,27402.129888534542,4.890130823592204,0.0560747663551401,0.038095238095238,0.0560747663551401,0.0319801357415931,0.0566497461087513,0.8571428571428571,5.7332004615642695,0.0,0
FP16zephyr-7b-beta,60639.00852203369,2.226289698502353,0.0612244897959183,0.0416666666666666,0.0612244897959183,0.023674033167752,0.0583706871904324,0.9157894736842104,5.614129423915461,0.0,0
FP16gemma-2b-it,7267.168045043945,6.742654042989547,0.1379310344827586,0.074074074074074,0.1379310344827586,0.0835976409843371,0.1652338871060743,0.7857142857142857,3.842370993177109,0.0,0
FP16gemma-2-2b-it,5640.45524597168,6.027882239519983,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0
FP16gemma-2-9b-it,67532.38463401794,0.5182698669634942,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.17001078098404226,0.2450359568180367,0.9523809523809523,4.297079327540666,0.0,0
FP16notus-7b-v1,64559.650897979736,2.091089374280129,0.0618556701030927,0.0421052631578947,0.0618556701030927,0.023674033167752,0.0603450122888749,0.8421052631578947,5.69728873475641,0.0,0
FP16minicpm3-4b,9406.693458557129,2.126145609837673,0.6,0.5,0.6,0.4463236137853328,0.5478142346906297,0.8888888888888888,2.725480556997868,0.0,0
 
